method,parameter,repetition,runtime_s,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,31,24,0.0014317060000621495,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,24,0.0014317060000621495,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,25,0.0014003269999420809,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,25,0.0014003269999420809,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,26,0.0014327379999485856,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,26,0.0014327379999485856,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,27,0.0014053759999796966,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,27,0.0014053759999796966,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,28,0.0014057170000114638,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,28,0.0014057170000114638,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,29,0.0014296930000909924,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,29,0.0014296930000909924,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,63,0,0.0015562700000373297,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,0,0.0015562700000373297,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,1,0.0014455119999183808,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,1,0.0014455119999183808,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,2,0.0014930009999716276,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,2,0.0014930009999716276,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,3,0.0014568419999250182,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,3,0.0014568419999250182,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,4,0.001473974999953498,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,4,0.001473974999953498,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,5,0.0014346620000651455,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,5,0.0014346620000651455,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
